Province_State,Country_Region,Lat,Long,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case_Fatality_Ratio
Mykolaiv Oblast,Ukraine,46.975,31.9946,2374,57,815,1502,"Mykolaiv Oblast, Ukraine",94.13085775257224,2.4010109519797806
Odessa Oblast,Ukraine,46.4846,30.7326,11205,160,2424,8621,"Odessa Oblast, Ukraine",470.73740037003614,1.42793395805444
Poltava Oblast,Ukraine,49.5883,34.5514,1461,33,714,714,"Poltava Oblast, Ukraine",104.32442969668794,2.2587268993839835
Rivne Oblast,Ukraine,50.6199,26.2516,11015,151,8576,2288,"Rivne Oblast, Ukraine",951.7835031681471,1.3708579210167953
Sevastopol*,Ukraine,44.6054,33.522,763,22,517,224,"Sevastopol*, Ukraine",172.15276696652387,2.8833551769331587
Sumy Oblast,Ukraine,50.9077,34.7981,2916,50,1302,1564,"Sumy Oblast, Ukraine",269.64596483505915,1.7146776406035664
Ternopil Oblast,Ukraine,49.5535,25.5948,11016,133,4862,6021,"Ternopil Oblast, Ukraine",1053.2767174787905,1.2073347857661585
Vinnytsia Oblast,Ukraine,49.2331,28.4682,5200,98,3461,1641,"Vinnytsia Oblast, Ukraine",333.24916655665174,1.8846153846153848
Volyn Oblast,Ukraine,50.7472,25.3254,6783,143,4774,1866,"Volyn Oblast, Ukraine",655.1534293413695,2.108211705734925
Zakarpattia Oblast,Ukraine,48.6208,22.2879,9110,290,4054,4766,"Zakarpattia Oblast, Ukraine",724.8556256275847,3.18331503841932
Zaporizhia Oblast,Ukraine,47.8388,35.1396,2829,42,1075,1712,"Zaporizhia Oblast, Ukraine",165.84243737381553,1.4846235418875928
Zhytomyr Oblast,Ukraine,50.2547,28.6587,4931,90,2379,2462,"Zhytomyr Oblast, Ukraine",404.1163979796639,1.825187588724397
,United Arab Emirates,23.424076,53.847818,84242,404,73512,10326,United Arab Emirates,851.755237401925,0.4795707604282899
Anguilla,United Kingdom,18.2206,-63.0686,3,1,3,1,"Anguilla, United Kingdom",19.99733368884149,1.0
Bermuda,United Kingdom,32.3078,-64.7505,180,9,166,5,"Bermuda, United Kingdom",289.0498289788512,5.0
British Virgin Islands,United Kingdom,18.4207,-64.64,69,1,48,20,"British Virgin Islands, United Kingdom",228.19724178986007,1.4492753623188406
Cayman Islands,United Kingdom,19.3133,-81.2546,208,1,204,3,"Cayman Islands, United Kingdom",316.4942178940961,0.4807692307692308
Channel Islands,United Kingdom,49.3723,-2.3644,644,48,575,21,"Channel Islands, United Kingdom",377.7148253068933,7.453416149068322
England,United Kingdom,52.3555,-1.1743,336622,37076,1,299546,"England, United Kingdom",601.3555519032749,11.014134548544064
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13,1,13,1,"Falkland Islands (Malvinas), United Kingdom",373.2414585127763,1.0
Gibraltar,United Kingdom,36.1408,-5.3536,350,1,322,28,"Gibraltar, United Kingdom",1038.8531061707874,1.0
Isle of Man,United Kingdom,54.2361,-4.5481,339,24,312,3,"Isle of Man, United Kingdom",398.6734405870731,7.079646017699115
Montserrat,United Kingdom,16.742498,-62.187366,13,1,12,1,"Montserrat, United Kingdom",260.05201040208044,7.6923076923076925
Northern Ireland,United Kingdom,54.7877,-6.4923,9165,575,1,8590,"Northern Ireland, United Kingdom",487.0854591836735,6.273867975995636
Scotland,United Kingdom,56.4907,-4.2026,24126,2505,1,21621,"Scotland, United Kingdom",441.6012300258087,10.38298930614275
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,668,5,572,91,"Turks and Caicos Islands, United Kingdom",1725.2957280851283,0.7485029940119761
Unknown,United Kingdom,,,1,1,1,1,"Unknown, United Kingdom",1.0,1.0
Wales,United Kingdom,52.1307,-3.7837,20445,1603,1,18842,"Wales, United Kingdom",651.4050850697762,7.840547811200782
,Uruguay,-32.5228,-55.7658,1904,46,1612,246,Uruguay,54.81144603476324,2.4159663865546217
,Uzbekistan,41.377491,64.585262,50992,427,47271,3294,Uzbekistan,152.35500556795515,0.8373862566677126
,Venezuela,6.4238,-66.5897,65949,539,55155,10255,Venezuela,231.9212695003644,0.8172982152875707
,Vietnam,14.058324,108.277199,1068,35,942,91,Vietnam,1.0972010965066137,3.2771535580524342
,West Bank and Gaza,31.9522,35.2332,35003,253,23446,11304,West Bank and Gaza,686.1428277952631,0.7227951889838014
,Western Sahara,24.2155,-12.8858,10,1,8,1,Western Sahara,1.674116485025028,10.0
,Yemen,15.552727,48.516388,2026,585,1221,220,Yemen,6.79273846200063,28.874629812438307
,Zambia,-13.133897,27.849332,14070,330,13365,375,Zambia,76.53412573441756,2.345415778251599
,Zimbabwe,-19.015438,29.154857,7672,225,5914,1533,Zimbabwe,51.6183656153327,2.93274244004171
