Province_State,Country_Region,Lat,Long,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case_Fatality_Ratio
Gotland,Sweden,57.4684,18.4867,324,6,1,318,"Gotland, Sweden",542.8408672050397,1.851851851851852
Halland,Sweden,56.8967,12.8034,2356,83,1,2273,"Halland, Sweden",705.710383168388,3.5229202037351444
Jamtland Harjedalen,Sweden,63.1712,14.9592,1222,64,1,1158,"Jamtland Harjedalen, Sweden",934.1793440868436,5.237315875613748
Jonkoping,Sweden,57.3708,14.3439,5224,181,1,5043,"Jonkoping, Sweden",1436.747625818553,3.464777947932619
Kalmar,Sweden,57.235,16.1849,911,64,1,847,"Kalmar, Sweden",371.16107005206845,7.025246981339188
Kronoberg,Sweden,56.7183,14.4115,1548,116,1,1432,"Kronoberg, Sweden",768.3564220798238,7.493540051679586
Norrbotten,Sweden,66.8309,20.3992,1685,88,1,1597,"Norrbotten, Sweden",673.7493652361321,5.222551928783383
Orebro,Sweden,59.535,15.0066,2860,172,1,2688,"Orebro, Sweden",938.3048178343532,6.013986013986014
Ostergotland,Sweden,58.3454,15.5198,3954,277,1,3677,"Ostergotland, Sweden",849.4183610994747,7.005563985837128
Skane,Sweden,55.9903,13.5958,5366,276,1,5090,"Skane, Sweden",389.4538283833892,5.143496086470369
Sormland,Sweden,59.0336,16.7519,2460,254,1,2206,"Sormland, Sweden",826.7795926598102,10.32520325203252
Stockholm,Sweden,59.6025,18.1384,23739,2400,1,21339,"Stockholm, Sweden",998.6618041202636,10.109945659042085
Uppsala,Sweden,60.0092,17.2715,3919,243,1,3676,"Uppsala, Sweden",1021.3362591311736,6.20056136769584
Varmland,Sweden,59.7294,13.2354,1241,73,1,1168,"Varmland, Sweden",439.42580750246094,5.882352941176472
Vasterbotten,Sweden,65.3337,16.5162,905,31,1,874,"Vasterbotten, Sweden",333.0438366649984,3.425414364640884
Vasternorrland,Sweden,63.4276,17.7292,1881,136,1,1745,"Vasternorrland, Sweden",766.6692480446063,7.230196703880915
Vastmanland,Sweden,59.6714,16.2159,2854,183,1,2671,"Vastmanland, Sweden",1034.639018289257,6.412053258584442
Vastra Gotaland,Sweden,58.2528,13.0596,19514,860,1,18654,"Vastra Gotaland, Sweden",1130.6689163389594,4.407092343958183
,Switzerland,46.8182,8.2275,49283,2045,40500,6738,Switzerland,569.4416553104942,4.149503885721241
,Syria,34.802075,38.99681500000001,3765,170,932,2663,Syria,21.51347803685313,4.51527224435591
,Taiwan*,23.7,121.0,506,7,479,20,Taiwan*,2.12455296739378,1.383399209486166
,Tajikistan,38.861,71.2761,9303,73,8066,1164,Tajikistan,97.53983217235456,0.7846931097495432
,Tanzania,-6.369028,34.888822,509,21,183,305,Tanzania,0.852107987092757,4.12573673870334
,Thailand,15.870032,100.992541,3506,59,3340,107,Thailand,5.022924219259783,1.6828294352538506
,Timor-Leste,-8.874217,125.727539,27,1,26,1,Timor-Leste,2.0478716545741107,1.0
,Togo,8.6195,0.8248,1659,41,1259,359,Togo,20.039288601630894,2.471368294153104
,Trinidad and Tobago,10.6918,-61.2225,3853,61,1695,2097,Trinidad and Tobago,275.31438215751297,1.5831819361536466
,Tunisia,33.886917,9.537499,9110,138,2366,6606,Tunisia,77.08177047434819,1.5148188803512623
,Turkey,38.9637,35.2433,301348,7445,266117,27786,Turkey,357.30535174167863,2.4705655919402147
,Uganda,1.373333,32.290275,6017,63,2581,3373,Uganda,13.154500338864477,1.047033405351504
Cherkasy Oblast,Ukraine,49.4444,32.0598,2983,48,1345,1590,"Cherkasy Oblast, Ukraine",247.27463234166507,1.609118337244385
